secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-07-17,2.6719786023539706e-05,0.08205721222374061,-13.651313351450506,-12.671037921973518,-12.69741735666755,-10.530106217428953,garman_klass,True
GLDRUB_TOM,2018-07-18,6.6986609555844e-07,0.012992546173892432,-10.530106217428953,-12.399223136728711,-12.702020780469413,-14.216188001911009,garman_klass,True
GLDRUB_TOM,2018-07-19,2.910942936468588e-06,0.0270842688657103,-14.216188001911009,-12.919088643567358,-12.770141149909046,-12.747033496117558,garman_klass,True
GLDRUB_TOM,2018-07-20,1.2405370526688969e-05,0.055912014565079125,-12.747033496117558,-13.139006876423661,-12.875428670723268,-11.297381072125997,garman_klass,True
GLDRUB_TOM,2018-07-23,1.3242208424379016e-06,0.018267557370769395,-11.297381072125997,-12.488404427806804,-12.741520546978734,-13.534686314934538,garman_klass,True
GLDRUB_TOM,2018-07-24,4.172300407656058e-08,0.0032425602580820707,-13.534686314934538,-12.465079020503612,-12.780699633445778,-16.992213203735925,garman_klass,True
GLDRUB_TOM,2018-07-25,8.071490981665973e-06,0.04510006349640569,-16.992213203735925,-13.757500417765005,-12.823662872097753,-11.727172336655284,garman_klass,True
GLDRUB_TOM,2018-07-26,2.4454762099950834e-06,0.024824584687739713,-11.727172336655284,-13.25969728471386,-12.733392295097822,-12.921270685088297,garman_klass,True
GLDRUB_TOM,2018-07-27,1.1660250171578783e-07,0.005420685420901911,-12.921270685088297,-13.294544722508011,-12.718289731413257,-15.964495107721698,garman_klass,True
GLDRUB_TOM,2018-07-30,4.707857695083861e-09,0.0010892107872956147,-15.964495107721698,-14.227967529627147,-12.945122491877491,-19.174032874198094,garman_klass,True
GLDRUB_TOM,2018-07-31,2.1296105886476166e-06,0.023165963574589325,-19.174032874198094,-15.35583684147986,-13.154251350179266,-13.059571417188128,garman_klass,True
GLDRUB_TOM,2018-08-01,3.090579788404672e-06,0.027907456112622974,-13.059571417188128,-14.569308484170302,-13.219064006497304,-12.687151850867718,garman_klass,True
GLDRUB_TOM,2018-08-02,2.817334690144201e-06,0.026645231128972,-12.687151850867718,-14.761304387012785,-13.25237817720755,-12.779719265284676,garman_klass,True
GLDRUB_TOM,2018-08-03,1.6586941292011584e-05,0.0646522173292372,-12.779719265284676,-14.73299410305206,-13.294467588458968,-11.006894841344257,garman_klass,True
GLDRUB_TOM,2018-08-06,7.847332556783488e-07,0.014062459970821034,-11.006894841344257,-13.741474049776576,-13.242254438501709,-14.057921978593308,garman_klass,True
GLDRUB_TOM,2018-08-07,8.592736998218716e-06,0.04653353332330478,-14.057921978593308,-12.718251870655617,-13.232379074836064,-11.664593246616331,garman_klass,True
